district,state,category,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04
Ashoknagar,Madhya Pradesh,recovered,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,4,4,4,11,11,11
Ashoknagar,Madhya Pradesh,deceased,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rewa,Madhya Pradesh,confirmed,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,7,11,11,11,14,14,25,22,26,26,26,28,30,32,33,35,35,35,35,35,35,35
Rewa,Madhya Pradesh,recovered,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,10,10,10,10,13,22,26,26
Rewa,Madhya Pradesh,deceased,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shahdol,Madhya Pradesh,confirmed,,,,,,,,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,7,7,7,7,7,10,10,11,12,12,12
Shahdol,Madhya Pradesh,recovered,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Shahdol,Madhya Pradesh,deceased,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anuppur,Madhya Pradesh,confirmed,,,,,,,,,,,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,17,17,18,19,19
Anuppur,Madhya Pradesh,recovered,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Anuppur,Madhya Pradesh,deceased,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katni,Madhya Pradesh,confirmed,,,,,,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Katni,Madhya Pradesh,recovered,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katni,Madhya Pradesh,deceased,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niwari,Madhya Pradesh,confirmed,,,,,,,,,,,,,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niwari,Madhya Pradesh,recovered,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niwari,Madhya Pradesh,deceased,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panna,Madhya Pradesh,confirmed,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,11,16,19,20,20,20
Panna,Madhya Pradesh,recovered,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3
Panna,Madhya Pradesh,deceased,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neemuch,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,4,4,5,10,12,27,34,38,45,49,50,50,50,50,50,58,58,58,88,90,90,115,149,157,199,205,206,230,242,242
Neemuch,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,4,5,6,9,9,9,9,8,8,17,46,47,47,47,47,54,54,72,72,81,81
Neemuch,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5
Jhabua,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,7,7,7,7,7,11,11,11,11,12,12,12,13,13,13,13,13,13,13,13,13,13
Jhabua,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,6,6,6,9,9,9,9,9,9,9
Jhabua,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guna,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4
Guna,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Guna,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sehore,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,,1,1,1,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,11,11,11,11,11
Sehore,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4
Sehore,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Bhind,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,,,1,2,4,8,9,10,12,16,17,19,25,38,42,44,44,48,49,51,51,53,53,56,56,56,57,58,58
Bhind,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,10,10,12,12,12,12,28,28,33,33
Bhind,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandla,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4
Mandla,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mandla,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Seoni,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Seoni,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2
Seoni,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sidhi,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,4,4,4,5,5,8,8,8,8,8,9,9,12,12,14,14,17,17,17,17
Sidhi,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,6,6,6
Sidhi,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaghat,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,3,3,6,6,7,7,7,7,7,7,7,7,7
Balaghat,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Balaghat,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhatarpur,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,2,2,2,5,6,9,9,9,17,17,20,29,29,29,29
Chhatarpur,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,9,9
Chhatarpur,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damoh,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,5,6,6,6,8,8,10,16,16,16,19,24,25,26,26,26
Damoh,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,9,12,16,16
Damoh,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datia,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,3,3,3,3,3,3,4,4,5,6,7,7,8,8,8,8,8,8,11,11,11
Datia,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,5,5,5,5,5
Datia,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Narsinghpur,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,8,9,10,10,11,12,12,12
Narsinghpur,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narsinghpur,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singrauli,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,7,7,7,7,11,11,11,11,11,11,11,11,11,11
Singrauli,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Singrauli,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umaria,Madhya Pradesh,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,2,2,2,5,5,5,5,6,6,7,7,7,9,9
Umaria,Madhya Pradesh,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Umaria,Madhya Pradesh,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Ahmadnagar,Maharashtra,confirmed,29,29,29,32,35,36,36,42,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmadnagar,Maharashtra,recovered,0,0,11,11,22,22,22,23,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmadnagar,Maharashtra,deceased,0,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akola,Maharashtra,confirmed,15,16,21,20,23,29,29,34,39,39,39,49,62,62,63,83,99,121,143,159,162,169,192,208,226,236,269,274,274,310,344,367,373,402,420,437,487,529,529,571,571,603,642,647,647
Akola,Maharashtra,recovered,0,0,0,0,7,7,7,8,8,8,8,8,13,13,13,14,25,26,26,26,14,14,14,55,60,71,73,113,113,117,120,123,130,160,160,185,185,250,250,289,289,326,346,358,358
Akola,Maharashtra,deceased,0,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,10,10,11,11,11,12,12,12,14,14,14,14,14,17,17,17,17,17,17,17,23,28,28,28,28,28,31,33,33
Amravati,Maharashtra,confirmed,6,6,7,7,19,20,20,28,28,28,28,31,34,34,61,73,73,80,82,82,83,89,89,92,98,102,110,115,115,123,140,145,156,168,182,193,194,197,197,213,213,232,245,261,261
Amravati,Maharashtra,recovered,0,0,0,0,4,4,4,4,4,4,4,4,4,4,5,8,8,8,8,8,21,45,45,56,56,56,62,62,62,65,66,68,78,78,78,83,83,90,90,121,121,124,138,158,158
Amravati,Maharashtra,deceased,0,1,1,1,1,1,7,7,7,7,7,10,10,10,10,10,10,11,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16
Aurangabad,Maharashtra,confirmed,28,35,38,40,50,50,50,90,105,131,131,220,244,244,340,373,400,423,442,568,584,653,680,716,778,873,939,974,974,1082,1126,1187,1219,1256,1289,1310,1335,1370,1370,1462,1462,1543,1592,1653,1653
Aurangabad,Maharashtra,recovered,0,0,15,15,22,22,22,22,22,22,22,22,22,22,22,22,24,31,31,31,95,95,95,140,154,260,271,298,298,329,411,436,544,597,597,743,743,879,879,986,986,1012,1060,1095,1095
Aurangabad,Maharashtra,deceased,0,3,5,5,5,5,6,6,7,7,8,9,9,9,11,11,12,12,12,13,14,15,15,19,20,25,31,33,33,36,39,42,42,46,48,53,57,60,60,65,65,68,68,84,84
Bid,Maharashtra,confirmed,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bid,Maharashtra,recovered,0,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bid,Maharashtra,deceased,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buldana,Maharashtra,confirmed,21,21,24,24,21,21,21,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buldana,Maharashtra,recovered,0,0,8,8,11,14,14,15,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buldana,Maharashtra,deceased,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandrapur,Maharashtra,confirmed,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,15,15,16,19,24,25,25,25,25,25,25,26,26,27,27
Chandrapur,Maharashtra,recovered,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,5,5,15,15,17,24,25,25
Chandrapur,Maharashtra,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhule,Maharashtra,confirmed,1,4,9,17,25,25,25,25,25,25,25,27,28,28,32,32,32,32,50,54,54,63,71,71,74,77,80,83,83,84,95,97,97,118,118,129,129,129,129,140,140,145,173,177,177
Dhule,Maharashtra,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,14,14,16,16,16,19,19,24,24,38,38,38,47,52,53,62,62,62,62,67,67,71,71,88,93,94,94
Dhule,Maharashtra,deceased,0,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,16,16,16,16,20,20
Gondiya,Maharashtra,confirmed,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gondiya,Maharashtra,recovered,0,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gondiya,Maharashtra,deceased,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hingoli,Maharashtra,confirmed,1,1,7,7,8,8,8,15,15,15,15,37,42,42,55,58,58,58,58,59,60,61,61,61,66,66,96,104,104,107,110,112,112,112,132,133,133,143,143,149,149,190,191,193,193
Hingoli,Maharashtra,recovered,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,21,21,45,46,81,81,86,86,86,86,87,87,91,91,92,92,92,92,97,97,106,106,106,106
Hingoli,Maharashtra,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalgaon,Maharashtra,confirmed,2,3,6,8,13,19,19,40,40,40,40,46,46,46,58,65,78,96,133,178,180,192,206,223,246,250,266,292,292,303,331,395,403,411,418,447,505,526,526,607,607,696,760,781,781
Jalgaon,Maharashtra,recovered,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,29,29,29,29,32,52,75,77,77,105,120,135,174,182,182,204,204,239,239,272,272,298,324,330,330
Jalgaon,Maharashtra,deceased,0,1,2,2,2,4,5,5,9,9,12,12,12,12,12,13,13,14,14,19,19,24,24,26,27,30,30,33,33,33,33,41,41,41,41,41,51,52,52,72,72,72,72,74,74
Jalna,Maharashtra,confirmed,2,1,2,3,2,2,2,2,2,2,2,8,8,8,8,8,8,12,12,12,14,16,16,20,21,21,28,36,36,38,43,46,54,56,63,73,79,87,87,119,119,129,130,154,154
Jalna,Maharashtra,recovered,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,8,8,8,11,13,13,16,16,24,24,45,45,57,58,59,59
Jalna,Maharashtra,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
Kolhapur,Maharashtra,confirmed,5,9,9,9,10,10,10,12,12,14,14,16,16,16,15,16,16,16,19,19,19,19,22,25,25,27,36,52,52,139,161,195,229,259,267,340,346,351,351,429,429,509,543,607,607
Kolhapur,Maharashtra,recovered,0,0,2,2,3,3,4,4,4,4,4,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,12,12,12,18,18,36,36,104,104,150,205,213,213
Kolhapur,Maharashtra,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,6,6
Latur,Maharashtra,confirmed,8,8,8,8,9,9,9,12,12,12,12,12,12,12,19,19,25,25,25,26,31,31,32,32,32,34,44,50,50,50,54,61,67,71,82,82,94,107,107,118,118,125,125,125,125
Latur,Maharashtra,recovered,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,15,21,21,22,22,22,28,28,28,28,28,42,42,50,50,55,55,60,69,69,69
Latur,Maharashtra,deceased,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Mumbai,Maharashtra,confirmed,2455,3451,3683,4205,5049,5407,5407,6169,6644,7061,7061,8359,8800,8800,9945,10714,11394,12142,12864,13739,14521,14947,15747,16738,17671,18555,20150,21335,21335,24118,25500,27251,28817,30542,31972,32974,34018,35485,35485,38442,38442,41099,42216,43492,43492
Mumbai,Maharashtra,recovered,0,0,483,483,470,551,641,711,936,1092,1092,1134,1230,1230,1395,1605,1694,1793,1867,1867,2366,2513,2513,2739,2944,3260,3498,3730,3730,4352,4702,5769,6096,7083,7083,8013,8013,8650,8650,16364,16364,16985,17213,17472,17472
Mumbai,Maharashtra,deceased,0,151,161,167,191,204,219,219,270,290,296,322,343,343,387,412,436,462,489,508,528,556,556,621,655,696,734,757,757,841,882,909,949,988,1026,1065,1097,1135,1135,1227,1227,1319,1368,1417,1417
Nagpur,Maharashtra,confirmed,60,79,100,100,107,107,107,134,138,139,139,146,152,152,181,182,206,212,224,251,259,268,317,331,334,352,357,375,375,388,437,460,465,471,475,481,484,495,495,556,556,592,614,635,635
Nagpur,Maharashtra,recovered,0,0,12,12,15,20,20,20,35,37,37,37,40,40,50,56,63,63,63,63,71,75,75,86,93,159,162,188,188,228,269,274,283,306,306,333,333,336,336,353,353,378,381,392,392
Nagpur,Maharashtra,deceased,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,6,6,7,7,7,7,8,9,9,9,10,10,11,11,11,11
Nandurbar,Maharashtra,confirmed,1,4,7,7,11,11,11,11,11,11,11,12,12,12,19,19,19,19,19,22,22,22,22,22,22,22,23,25,25,25,26,32,32,32,32,32,32,32,32,34,34,35,37,37,37
Nandurbar,Maharashtra,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,9,9,9,9,10,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27,27,28,28
Nandurbar,Maharashtra,deceased,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4
Nashik,Maharashtra,confirmed,53,95,105,120,131,131,131,195,195,197,197,262,284,284,409,463,533,557,595,659,696,741,751,807,825,835,851,857,857,868,907,918,931,936,973,992,1012,1043,1043,1111,1111,1182,1212,1235,1235
Nashik,Maharashtra,recovered,0,0,2,2,2,2,2,5,6,6,6,6,6,6,6,6,24,24,42,42,47,103,103,126,139,265,416,550,550,638,639,641,641,718,718,728,728,755,755,893,893,893,919,942,942
Nashik,Maharashtra,deceased,0,8,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20,34,34,34,34,34,34,35,35,35,35,36,45,46,46,46,46,49,52,52,52,60,60,67,68,68,68
Osmanabad,Maharashtra,confirmed,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,6,7,7,11,11,11,19,26,29,31,37,37,45,54,54,66,66,76,80,91,91
Osmanabad,Maharashtra,recovered,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,8,8,12,12,18,18,26,32,40,40
Osmanabad,Maharashtra,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
Palghar,Maharashtra,confirmed,83,129,134,130,139,141,141,164,169,169,169,188,196,196,192,211,233,240,248,263,286,301,326,337,363,390,420,437,437,475,527,558,610,676,717,752,771,825,825,968,968,1071,1122,1199,1199
Palghar,Maharashtra,recovered,0,0,15,15,26,26,35,36,40,46,46,55,64,64,87,92,100,104,107,107,118,118,118,118,118,136,136,139,139,166,177,220,223,239,239,264,264,273,273,329,329,391,443,447,447
Palghar,Maharashtra,deceased,0,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,17,18,18,18,18,19,23,23,30,30,33,33,34,34
Parbhani,Maharashtra,confirmed,1,1,1,1,1,1,1,1,1,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,6,6,6,7,7,9,18,22,22,22,24,25,25,40,40,57,57,63,71,73,73
Parbhani,Maharashtra,recovered,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,24,24,24
Parbhani,Maharashtra,deceased,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pune,Maharashtra,confirmed,591,716,805,910,1030,1052,1052,1174,1192,1248,1248,1339,1396,1396,2062,2087,2129,2177,2225,2679,2789,2937,3161,3314,3481,3647,3821,4071,4071,4477,4665,4993,5347,5682,5996,6335,6614,6896,6896,7537,7537,8045,8196,8463,8463
Pune,Maharashtra,recovered,0,0,152,152,185,206,210,221,244,248,248,285,339,339,425,528,588,670,730,730,1086,1163,1163,1197,1377,1452,1511,1676,1676,1807,1874,1940,2174,2459,2459,2830,2830,3242,3242,3559,3559,3793,4317,4585,4585
Pune,Maharashtra,deceased,0,55,57,62,73,76,80,80,85,88,99,102,106,106,119,122,129,139,149,155,158,164,164,175,181,188,197,205,205,226,234,243,257,263,274,282,291,301,301,320,320,338,348,367,367
Raigarh,Maharashtra,confirmed,42,50,51,50,56,57,57,66,69,71,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raigarh,Maharashtra,recovered,0,0,4,4,18,18,20,21,23,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raigarh,Maharashtra,deceased,0,1,1,1,1,1,1,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratnagiri,Maharashtra,confirmed,6,8,8,7,8,8,8,8,8,8,8,10,11,11,10,16,16,17,18,36,42,55,60,83,86,91,95,101,101,116,123,135,142,155,167,171,192,204,204,242,242,264,304,314,314
Ratnagiri,Maharashtra,recovered,0,0,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,14,15,15,15,32,32,32,40,40,62,62,76,76,90,90,99,118,118,118
Ratnagiri,Maharashtra,deceased,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5
Sangli,Maharashtra,confirmed,26,27,27,26,26,27,27,27,29,29,29,31,31,31,34,35,35,35,35,37,37,38,41,43,44,45,50,53,53,57,63,71,74,80,83,87,94,101,101,112,112,112,124,126,126
Sangli,Maharashtra,recovered,0,0,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,27,28,28,28,28,30,30,31,31,32,33,36,36,42,42,45,45,46,46,55,55,62,63,63,63
